id,name,sku,jan_code,weight,shape,material,unit_price,printing_cost,category,status,description,min_stock_alert,prefix,origin,variety,suffix,image_url
4592fb51-5a61-461c-9622-62eb6f5811c2,別注５ＫSFポリお家ごはんＲ,1139903,4.99E+12,5,RＺ,【ＳＦポリ】,55.5,0,bag,active,別注5K SFﾎﾟﾘDHお家ごはんRZ,100,,国内産,お家ごはん,,
b4dc3ba9-33ae-457c-9f76-71f9b8cd7412,別注５ＫSFﾎﾟﾘ新米徳島県産こしひかりＲ,1189957,4.99E+12,5,RＺ,【ＳＦポリ】,52,0,new_rice,active,●◆別注5K SFﾎﾟﾘDH【新米】徳島こしひかりRZ,100,【新米】,徳島県,こしひかり,,
01921365-7c99-48cc-89d8-d9f76f54d7c8,別注５ＫSFﾏｯﾄﾎﾟﾘ北海道ゆめぴりかR,1197305,-,5,RＺ,【ＳＦマットポリ】,54,0,bag,active,●【構成変更】（ロゴ無）別注【スギ薬局】ＴＳ5K SFMﾎﾟﾘDH北海道ゆめぴりかRZ,100,,北海道,ゆめぴりか,（スギ薬局）,
bf801992-f31a-4205-9936-b6d4785a3530,別注５Ｋｿﾌﾄｸﾗﾌﾄ特栽宮城ひとめぼれＲ,1202104,4.99E+12,5,RＺ,【ソフクラ】窓有り,135,0,bag,active,●◆別注5KｿﾌｸﾗS【万代ＰＢ・特栽】宮城ひとめぼれRZ,100,【特栽】,宮城県,ひとめぼれ,（万代）,
b16a7637-f361-4605-9f21-b3e389e96186,別注５Ｋポリ　アメリカ産カルローズＲ,1090502,4.99E+12,5,RＺ,【ポリ】透明,45,0,bag,active,別注5KﾎﾟﾘDH【Ｚ】アメリカ産カルローズRZ,100,,アメリカ,カルローズ,【Z】,
f4390fcf-7781-4dfe-8657-6b52bf67dd3b,別注５Ｋポリ　アメリカ産カルローズＲ,1244055,4.99E+12,5,RＡ,【ポリ】透明,45,0,bag,active,別注5KﾎﾟﾘDH【Ａ】アメリカ産カルローズRA,100,,アメリカ,カルローズ,【A】,
27711cf1-d3a4-4248-b95a-fb40381263af,別注５Ｋポリ　備蓄米精米,1249596,4.99E+12,5,RＺ,【ポリ】乳白Ｕ－0.8,39,0,bag,active,別注5KﾎﾟﾘDH【万代】備蓄米精米RZ,100,,国内産,備蓄米精米,（万代）,
2d933f3e-7f01-4a3a-bb91-08e25fb0c663,別注５Ｋポリ　国内産ブレンドＲ,1226862,4.56E+12,5,RＺ,【ポリ】透明,39.5,0,bag,active,●（ロゴ無）別注5KﾎﾟﾘDH国内産【ブレンド】（ロピア用）RZ,100,,国内産,ブレンド,（ロピア）,
282fe7f9-f4c4-4cc9-bd82-ae78e6e2df8a,別注５Ｋポリ　国内産ブレンドＲ,1230622,4.99E+12,5,RＺ,【ポリ】透明,41.5,0,bag,active,●◆別注5KﾎﾟﾘDH【万代】国内産ブレンドRZ,100,,国内産,ブレンド,（万代）,
c4c61eb6-9937-4729-823c-86be53551a1b,別注５Ｋポリ　得々ごはんＲ,1007369,4.99E+12,5,RＺ,【ポリ】透明,39,0,bag,active,別注5KﾎﾟﾘDH得々ごはん（販売者：日之出物産）RZ,100,,国内産,得々ごはん,（販売者：日之出物産）,
3366169c-6ee9-4d8a-9fcc-e63921f6623c,別注５Ｋポリ　新潟こしひかりＲ,1129939,4.99E+12,5,RＺ,【ポリ】透明,44,0,bag,active,別注5KﾎﾟﾘDH【通常・コーヨー様】新潟こしひかりRZ,100,,新潟県,こしひかり,（コーヨー）,
